"Model","AIC"
"log10(LacBic) ~ SegID + Sex + Age + SegID:Sex + SegID:Age",-6539.18472961806
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age",-6532.63822384881
"log10(LacBic) ~ SegID + Sex + Age + SegID:Sex + SegID:Age + Sex:Age",-6531.69512857244
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age",-6528.43424983779
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age + Sex:Age",-6525.509877789
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age",-6521.4201407988
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age",-6520.31564266902
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age + Sex:Age",-6520.11956548838
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age + Sex:Age",-6515.01675674962
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-6510.70532588998
"log10(LacBic) ~ Sex",-6382.80437742527
"log10(LacBic) ~ ParticipantType",-6382.68196284599
"log10(LacBic) ~ ParticipantType + Sex",-6378.46981039975
"log10(LacBic) ~ Age",-6376.25615791706
"log10(LacBic) ~ ParticipantType + Sex + ParticipantType:Sex",-6374.76270071391
"log10(LacBic) ~ Sex + Age",-6373.46604461713
"log10(LacBic) ~ ParticipantType + Age",-6370.39095420286
"log10(LacBic) ~ ParticipantType + Sex + Age",-6366.98311970394
"log10(LacBic) ~ Sex + Age + Sex:Age",-6365.78667040764
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Sex",-6362.65750067441
"log10(LacBic) ~ ParticipantType + Age + ParticipantType:Age",-6360.14150933169
"log10(LacBic) ~ ParticipantType + Sex + Age + Sex:Age",-6359.68650414537
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Age",-6355.81251736694
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-6354.49914391142
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      Sex:Age",-6354.31007658573
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Age +      Sex:Age",-6349.24727639031
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-6344.86865276052
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age",-6034.57541446984
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age",-6030.37199497953
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age + Sex:Age",-6027.43983803255
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age",-6023.35229509502
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age",-6022.23984432756
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age + Sex:Age",-6022.05016828642
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-6016.93840692532
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age +      Sex:Age",-6012.62556830801
