"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"39" "SegID37" -0.0460179326249105 0.00908451886067168 4470 -5.0655332803732 4.23668704906949e-07
"40" "SegID38" -0.0670297736289587 0.00908451886067163 4470 -7.37846160671663 1.89884489361166e-13
"41" "SegID39" 0.543661100457679 0.00908451886067138 4470 59.8447874670933 0
"42" "SegID40" 0.554087075109289 0.00908451886067134 4470 60.9924514008155 0
"43" "SegID41" 0.00439061394452652 0.00908451886067144 4470 0.483307262813257 0.628901255552088
"44" "SegID42" -0.0192091061122066 0.0090845188606713 4470 -2.11448799950943 0.0345288223816698
"45" "SegID43" -0.121397787305811 0.00908451886067169 4470 -13.3631499001407 5.75224943496555e-40
"46" "SegID44" -0.119292487009133 0.00908451886067144 4470 -13.1314039674211 1.12196418110002e-38
"47" "SegID45" 0.118056353231691 0.00908451886067124 4470 12.9953336045986 6.27871592331021e-38
"48" "SegID46" 0.0832904820109869 0.00908451886067131 4470 9.16839772016633 7.15918995213873e-20
"49" "SegID47" 0.386323036916508 0.00908451886067129 4470 42.5254262599396 0
"50" "SegID48" 0.389311957351739 0.00908451886067138 4470 42.854438779047 0
"51" "SegID49" -0.358417696438877 0.00908451886067142 4470 -39.4536795988761 2.22412690554642e-292
"52" "SegID50" -0.399722512850219 0.00908451886067137 4470 -44.0004054128496 0
"53" "SegID51" -0.162267600460449 0.00908451886067158 4470 -17.8619916969882 5.53891342906932e-69
"54" "SegID52" -0.121113903851116 0.00908451886067156 4470 -13.3319007543084 8.61003941400537e-40
"55" "SegID53" -0.181524225199311 0.00908451886067154 4470 -19.9817104222394 3.75512122163337e-85
"56" "SegID54" -0.201311186277349 0.00908451886067142 4470 -22.1598071801978 2.55289191307328e-103
"57" "SegID55" -0.105475922721727 0.00908451886067167 4470 -11.6105128229023 1.00172127308642e-30
"58" "SegID56" -0.0781474982124729 0.0090845188606716 4470 -8.60227155791228 1.06671395720046e-17
"59" "SegID57" 0.299502587547025 0.00908451886067135 4470 32.9684589949645 1.45816745268285e-213
"60" "SegID58" 0.291199274014662 0.00908451886067158 4470 32.0544520277583 4.08017549810606e-203
"61" "SegID59" -0.28142030726667 0.00908451886067161 4470 -30.9780090264312 4.75577021469553e-191
"62" "SegID60" -0.230356429305573 0.00908451886067147 4470 -25.3570313231258 1.19460695451385e-132
"63" "SegID61" 0.24279278242962 0.00908451886067163 4470 26.725992444213 4.12519898695264e-146
"64" "SegID62" 0.300805735894009 0.00908451886067163 4470 33.111906145767 3.22081735770684e-215
"65" "SegID63" -0.284307664000058 0.00908451886067167 4470 -31.2958416797252 1.38584720156122e-194
"66" "SegID64" -0.272364499847551 0.00908451886067148 4470 -29.981169506584 4.10522903479878e-180
"67" "SegID65" 0.379770624677762 0.00908451886067152 4470 41.8041539130769 1.08694442085074e-322
"68" "SegID66" 0.381863644375882 0.00908451886067153 4470 42.0345480297296 0
"69" "SegID67" 0.417989416397027 0.00908451886067146 4470 46.0111782261337 0
"70" "SegID68" 0.453466201324077 0.00908451886067151 4470 49.9163696260473 0
"71" "SegID69" -0.0431364537678279 0.0090845188606715 4470 -4.74834764828033 2.11502534829249e-06
"72" "SegID70" -0.0261945681953383 0.00908451886067159 4470 -2.88342933699428 0.00395249114816697
"73" "SegID71" 0.177490172389392 0.00908451886067151 4470 19.53765247357 1.22488232721114e-81
"74" "SegID72" 0.202282057104256 0.00908451886067149 4470 22.2666780934289 2.99681715449827e-104
"75" "SegID73" -0.108643015514678 0.00908451886067152 4470 -11.9591380876551 1.81112624841571e-32
"76" "SegID74" -0.131121916858731 0.00908451886067157 4470 -14.4335565669174 3.4287833394813e-46
"77" "SegID75" 0.282839400553444 0.00908451886067154 4470 31.1342190919879 8.75921266977709e-193
"78" "SegID76" 0.279714842679324 0.00908451886067155 4470 30.7902759594961 5.68327306011809e-189
"79" "SegID77" 0.100899538312918 0.00908451886067151 4470 11.1067564348102 2.71934045084097e-28
"80" "SegID78" 0.0824264067276081 0.00908451886067147 4470 9.07328258015369 1.69467691763806e-19
"81" "SegID79" 0.203512919044246 0.00908451886067145 4470 22.4021681462175 1.95894400234466e-105
"82" "SegID80" 0.192904646570164 0.00908451886067153 4470 21.234437346515 2.05254198744837e-95
"83" "SegID81" -0.220970212101845 0.00908451886067146 4470 -24.3238211611256 7.70763475672093e-123
"84" "SexF" -0.0413211261557439 0.00995046217618699 54 -4.15268410894841 0.000117605085098024
"85" "Age" -0.00154658677767079 0.000307766900113548 54 -5.02518879418217 5.86251459191413e-06
