"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"81" "Control" "144" 4.81817011209181 0.117929986473433 54 4.58744212032045 5.06050269849141
"82" "Patient" "144" 4.39295886367211 0.216810250488298 54 3.97909384427278 4.84986992847421
"83" "Control" "145" 4.56333560108803 0.111692632927068 54 4.34481088433396 4.79285114186268
"84" "Patient" "145" 4.22077343504922 0.208312204622474 54 3.82313017596424 4.65977551641282
"85" "Control" "146" 3.60656470347252 0.088274618122902 54 3.433856930217 3.78795891170453
"86" "Patient" "146" 3.2971354859242 0.167892317956329 54 2.97714348464579 3.65152115395407
"87" "Control" "147" 3.62409045070753 0.0887035799665627 54 3.4505434209771 3.80636612629275
"88" "Patient" "147" 3.31020271810896 0.163371864556985 54 2.99834523101182 3.65449646079556
"89" "Control" "152" 6.25961854562508 0.153211014397729 54 5.95986382906532 6.57444959491272
"90" "Patient" "152" 5.51807221315802 0.290951354667099 54 4.96452342735443 6.13334218182003
"91" "Control" "153" 5.7780593356841 0.141424325718562 54 5.50136507295718 6.06867009259214
"92" "Patient" "153" 4.86410468656397 0.256469613504466 54 4.37615905278835 5.40645669329101
"93" "Control" "154" 11.6095277048399 0.284155895981909 54 11.0535815779007 12.1934354561522
"94" "Patient" "154" 10.9542829362179 0.577456800365891 54 9.85563111765523 12.1754064467526
"95" "Control" "155" 11.6897028791122 0.286118271115512 54 11.1299173989498 12.2776430860859
"96" "Patient" "155" 11.2549294300272 0.57305860205844 54 10.1627116837621 12.4645311622184
"97" "Control" "156" 2.08965128773375 0.0511465021706435 54 1.98958403524899 2.19475147918588
"98" "Patient" "156" 1.97063961949093 0.100346271782087 54 1.7793860545915 2.18244967127098
"99" "Control" "157" 1.90006738160112 0.0465062285884192 54 1.80907874463149 1.99563234344449
"100" "Patient" "157" 1.61672235800391 0.0823052037443567 54 1.45985206118016 1.79044935605098
"101" "Control" "160" 3.28264497112495 0.0803463281776459 54 3.12544876089044 3.4477474535151
"102" "Patient" "160" 3.17167085353471 0.167250865772384 54 2.85346992736015 3.52535553527561
"103" "Control" "161" 3.60892296218666 0.0883323390857956 54 3.43610225885923 3.7904357803723
"104" "Patient" "161" 3.54945855418398 0.180711350771112 54 3.20503148414298 3.93089930323687
"105" "Control" "162" 3.14027216842422 0.0768615980195 54 2.98989377285498 3.29821393031078
"106" "Patient" "162" 3.09770119404706 0.152884056660124 54 2.80586368667373 3.41989268159212
"107" "Control" "163" 3.00040809892666 0.0734382718520459 54 2.85672738217021 3.15131531846266
"108" "Patient" "163" 2.63179074737058 0.129889495640128 54 2.3838471261082 2.9055229515716
"109" "Control" "166" 3.74124020337603 0.0915709483711978 54 3.56208321664098 3.9294079919211
"110" "Patient" "166" 3.47603346079186 0.176986527381978 54 3.13870700698403 3.84961342159648
"111" "Control" "167" 3.98422647614412 0.0975183033200931 54 3.79343359166376 4.18461539648188
"112" "Patient" "167" 3.6210624862331 0.184370858940338 54 3.26966190816752 4.01022916052912
"113" "Control" "168" 9.50591885878716 0.232667767296331 54 9.05070837073795 9.98402441537045
"114" "Patient" "168" 8.65954524538958 0.456559292937037 54 7.79091627379654 9.62501985923763
"115" "Control" "169" 9.32590075340313 0.228261627156195 54 8.87931080281346 9.79495219772771
"116" "Patient" "169" 8.6267491446443 0.439241563963031 54 7.78957921239928 9.55389229320114
"117" "Control" "170" 2.49500378089011 0.0610679480562792 54 2.37552539004168 2.62049140487054
"118" "Patient" "170" 2.48225096204587 0.122509103671896 54 2.24839563254197 2.74042955314388
"119" "Control" "171" 2.80630639570868 0.0686874202419045 54 2.67192063847856 2.9474511604805
"120" "Patient" "171" 2.78968407670178 0.147105006554844 54 2.50981112682349 3.10076609535676
"121" "Control" "176" 8.34227107520353 0.204186214303123 54 7.94278425609693 8.76185030944999
"122" "Patient" "176" 7.57447293009014 0.373830810679824 54 6.86087430933478 8.36229284810075
"123" "Control" "177" 9.53448525043828 0.233366960994906 54 9.07790680193427 10.0140275698199
"124" "Patient" "177" 9.18977750606868 0.453552611088409 54 8.32399943624049 10.1456050373291
"125" "Control" "178" 2.47847105510146 0.0606632914992742 54 2.35978436785231 2.60312715630303
"126" "Patient" "178" 2.51539186838087 0.124144741160632 54 2.27841430116227 2.77701744072135
"127" "Control" "179" 2.54757521768519 0.0623546915057416 54 2.42557933539207 2.67570695176403
