"Model","AIC"
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age + Sex:Age",-6259.1684409019
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age + Sex:Age",-6253.34604594532
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-6248.85784763026
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age",-5821.73004952181
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age",-5817.25888202668
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age",-5811.58646687751
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age + Sex:Age",-5809.01751120797
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age",-5806.80932057563
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age + Sex:Age",-5804.60523362338
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-5798.76247146224
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age +      Sex:Age",-5794.27409835188
"log10(Pyruvate) ~ Sex",-3146.23574189201
"log10(Pyruvate) ~ ParticipantType",-3145.53865896554
"log10(Pyruvate) ~ ParticipantType + Sex",-3142.73075889145
"log10(Pyruvate) ~ ParticipantType + Sex + ParticipantType:Sex",-3138.1001919779
"log10(Pyruvate) ~ Age",-3136.39280012665
"log10(Pyruvate) ~ Sex + Age",-3132.46858989313
"log10(Pyruvate) ~ ParticipantType + Age",-3131.48542341448
"log10(Pyruvate) ~ ParticipantType + Sex + Age",-3128.62836942854
"log10(Pyruvate) ~ ParticipantType + Sex + Age + ParticipantType:Sex",-3124.07651654249
"log10(Pyruvate) ~ ParticipantType + Age + ParticipantType:Age",-3122.49725459359
"log10(Pyruvate) ~ Sex + Age + Sex:Age",-3119.60922785807
"log10(Pyruvate) ~ ParticipantType + Sex + Age + ParticipantType:Age",-3118.50529172237
"log10(Pyruvate) ~ ParticipantType + Sex + Age + Sex:Age",-3115.87161244106
"log10(Pyruvate) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-3113.69510944557
"log10(Pyruvate) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      Sex:Age",-3111.40614585373
"log10(Pyruvate) ~ ParticipantType + Sex + Age + ParticipantType:Age +      Sex:Age",-3105.64382561324
"log10(Pyruvate) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-3101.14139261991
