"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"SegID74" 0.169798889356572 0.0144338773030254 4680 11.7639138667876 1.65735874722717e-31
"SegID75" -0.000589971487559123 0.0144338773030257 4680 -0.0408740822145864 0.967398023115064
"SegID76" 0.0133122748748239 0.0144338773030256 4680 0.92229375346245 0.356422914686267
"SegID77" 0.00326190422169267 0.0144338773030256 4680 0.225989465838741 0.821219481983712
"SegID78" 0.201274747970244 0.0144338773030255 4680 13.9446071034603 2.47206898555307e-43
"SegID79" -0.0217099433436238 0.0144338773030257 4680 -1.50409643146078 0.132624017117397
"SegID80" 0.116648618145567 0.0144338773030256 4680 8.08158582040289 8.0675730923056e-16
"SegID81" 0.0434924461600681 0.0144338773030256 4680 3.01321988866785 0.00259875552713853
"SegID82" 0.0566021269272433 0.0144338773030256 4680 3.92147762787056 8.92671880975669e-05
"SegID83" 0.00307605931182637 0.0144338773030256 4680 0.213113860347252 0.831247436399988
"SegID84" 0.0097349372143268 0.0144338773030256 4680 0.674450600483226 0.500058195437467
"SegID85" -0.0697259129039584 0.0144338773030255 4680 -4.83071259649293 1.40390572647443e-06
"ParticipantTypePatient:SegID1" 0.0183403826567993 0.0341750869229399 4680 0.536659429664489 0.591528394015341
"ParticipantTypePatient:SegID2" 0.00349165849674655 0.0317480534908348 4680 0.10998023856028 0.912429762723873
"ParticipantTypePatient:SegID3" -0.024205831072896 0.031748053490835 4680 -0.762435123144912 0.445838774417619
"ParticipantTypePatient:SegID4" 0.0375523095618258 0.0425099831076316 4680 0.883376252273416 0.377078391882218
"ParticipantTypePatient:SegID5" -0.00669709855677961 0.0356999598064061 4680 -0.187594008315322 0.851203055958262
"ParticipantTypePatient:SegID6" 0.0343592910428649 0.0341724250750599 4680 1.00546832621315 0.314723375977389
"ParticipantTypePatient:SegID7" -0.0082131034295105 0.0341730576824218 4680 -0.240338558692546 0.810078331987883
"ParticipantTypePatient:SegID8" 0.0206680788253131 0.0397266988061774 4680 0.520256639650593 0.602909322060692
"ParticipantTypePatient:SegID9" 0.0241205231900811 0.0397331806848756 4680 0.607062479628331 0.543838898617023
"ParticipantTypePatient:SegID10" 0.0117230132533403 0.031748053490835 4680 0.36925140171899 0.711957050682015
"ParticipantTypePatient:SegID11" 0.0632819260519976 0.0328733739766014 4680 1.92502072032644 0.0542873056733673
"ParticipantTypePatient:SegID12" 0.0898675895744799 0.0317480534908349 4680 2.83064880183672 0.00466518096393859
"ParticipantTypePatient:SegID13" 0.0681191850547185 0.031748053490835 4680 2.14561768564435 0.0319547871601829
"ParticipantTypePatient:SegID14" -0.0122649630701062 0.031748053490835 4680 -0.386321733823675 0.699275968309501
"ParticipantTypePatient:SegID15" 0.0299551706477783 0.0317480534908349 4680 0.943527786874425 0.345459713979005
"ParticipantTypePatient:SegID16" 0.0109235694767264 0.0317480534908349 4680 0.344070526398724 0.730808705719306
"ParticipantTypePatient:SegID17" 0.037879000215297 0.0317480534908351 4680 1.19311252345697 0.232885789169829
"ParticipantTypePatient:SegID18" 0.00102453753458081 0.0328725739855871 4680 0.0311669398030717 0.975137734321885
"ParticipantTypePatient:SegID19" -0.0402596567234892 0.031748053490835 4680 -1.2680984279906 0.204825883127628
"ParticipantTypePatient:SegID20" 0.0139170087417237 0.0328709670431561 4680 0.423383003105814 0.672035299052723
"ParticipantTypePatient:SegID21" 0.0330358507314946 0.0328725739855875 4680 1.00496695956875 0.314964716338356
"ParticipantTypePatient:SegID22" 0.0385836720539429 0.031748053490835 4680 1.21530827283887 0.224309842877877
"ParticipantTypePatient:SegID23" 0.00799554132246686 0.0317480534908349 4680 0.251843513013327 0.801173080776487
"ParticipantTypePatient:SegID24" 0.00617297423903624 0.031748053490835 4680 0.194436305861027 0.845842703659758
"ParticipantTypePatient:SegID25" -0.0110305345094853 0.0341696582418631 4680 -0.322816647196407 0.74684852596794
"ParticipantTypePatient:SegID26" 0.0926871676406467 0.0328730437829491 4680 2.8195493016294 0.00482933429134142
"ParticipantTypePatient:SegID27" 0.000723224468258421 0.0328725739855875 4680 0.0220008469241109 0.982448217877263
"ParticipantTypePatient:SegID28" 0.0548695382891827 0.0317480534908348 4680 1.72828039063947 0.0840039269345457
"ParticipantTypePatient:SegID29" -0.0811961328927667 0.0328709670431564 4680 -2.47014737309566 0.0135411375725924
"ParticipantTypePatient:SegID30" -0.0166540410011928 0.0341716512107128 4680 -0.487364245248171 0.626023053929759
"ParticipantTypePatient:SegID31" -0.153462976973053 0.0317480534908351 4680 -4.83377593581774 1.38256901192949e-06
"ParticipantTypePatient:SegID32" -0.0543205153866574 0.0328709670431564 4680 -1.65253779468489 0.0984920459383264
"ParticipantTypePatient:SegID33" 0.069978391957671 0.0328734832108168 4680 2.12871850265764 0.0333296378374703
"ParticipantTypePatient:SegID34" 0.0408242482318077 0.0341720991231507 4680 1.1946660954214 0.232278054900375
"ParticipantTypePatient:SegID35" 0.0138793392718314 0.0328713390143777 4680 0.422232245110571 0.67287490341093
"ParticipantTypePatient:SegID36" 0.0614954632007581 0.0341749021105548 4680 1.7994334848955 0.0720145271598225
"ParticipantTypePatient:SegID37" 0.0454014619647643 0.0328709670431563 4680 1.38120250326547 0.167282647777843
"ParticipantTypePatient:SegID38" 0.0384566490757701 0.0341722512928434 4680 1.12537651517926 0.260487227953707
"ParticipantTypePatient:SegID39" -0.00318279910295879 0.0341696582418631 4680 -0.0931469399087922 0.925790813967982
"ParticipantTypePatient:SegID40" 0.0503981044728239 0.0328737462509147 4680 1.53308065616104 0.125323576216016
"ParticipantTypePatient:SegID41" -0.026212593379972 0.0317480534908349 4680 -0.825644110355901 0.409048089944556
"ParticipantTypePatient:SegID42" 0.0338586875119847 0.0317480534908349 4680 1.066480737843 0.28626139461368
"ParticipantTypePatient:SegID43" -0.0650187795399913 0.0328731203194285 4680 -1.97787064045649 0.0480018688640697
"ParticipantTypePatient:SegID44" -0.0484975266223441 0.0317480534908349 4680 -1.5275748050615 0.126685719689462
"ParticipantTypePatient:SegID45" -0.00776813563160634 0.0317480534908349 4680 -0.244680689915332 0.806714407736525
"ParticipantTypePatient:SegID46" 0.0201483490175823 0.031748053490835 4680 0.634632577502703 0.525699097611978
"ParticipantTypePatient:SegID47" 0.000589779182745175 0.0328713390143774 4680 0.0179420492267508 0.98568584880238
"ParticipantTypePatient:SegID48" -0.00472292879537218 0.0317480534908351 4680 -0.148762783102138 0.88174722798034
"ParticipantTypePatient:SegID49" -0.04626486546578 0.0341716243499922 4680 -1.35389716894715 0.175834561570648
"ParticipantTypePatient:SegID50" -0.019377769397524 0.034171624349992 4680 -0.567071942470552 0.570692501331363
"ParticipantTypePatient:SegID51" -0.0481100352479861 0.0341714083470828 4680 -1.40790320256418 0.159226153766889
"ParticipantTypePatient:SegID52" -0.0166465568432493 0.0328707685463845 4680 -0.506424327126974 0.612582656086722
"ParticipantTypePatient:SegID53" -0.0702206643842405 0.0328713390143775 4680 -2.13622768313535 0.0327125923378302
"ParticipantTypePatient:SegID54" 0.118044531731526 0.0328730437829488 4680 3.59092186628472 0.000332891711271299
"ParticipantTypePatient:SegID55" 0.0463587847472597 0.034172858839848 4680 1.35659661851885 0.174974851204612
"ParticipantTypePatient:SegID56" 0.0931810067242669 0.0328737462509148 4680 2.83451134571174 0.00460925300311739
"ParticipantTypePatient:SegID57" -0.037197949386685 0.0317480534908351 4680 -1.1716607885086 0.24139291664067
"ParticipantTypePatient:SegID58" 0.0455053620522133 0.0317480534908349 4680 1.43332762323051 0.151831031164321
"ParticipantTypePatient:SegID59" -0.0284231651835049 0.0328707685463842 4680 -0.864694269116241 0.387250933940505
"ParticipantTypePatient:SegID60" 0.0036313877784552 0.0328707685463846 4680 0.110474684318101 0.912037662948762
"ParticipantTypePatient:SegID61" -0.0708983420694653 0.0341692379773066 4680 -2.07491727256406 0.0380487187771535
"ParticipantTypePatient:SegID62" -0.030422630690266 0.0328707685463846 4680 -0.925522342057079 0.354741988524099
"ParticipantTypePatient:SegID63" 0.045722464017644 0.031748053490835 4680 1.4401658996462 0.149887358219482
"ParticipantTypePatient:SegID64" 0.048868854853102 0.0341720991231508 4680 1.43008056593148 0.152760652404061
"ParticipantTypePatient:SegID65" -0.0437458031207926 0.0317480534908349 4680 -1.37790504647541 0.168298484850954
"ParticipantTypePatient:SegID66" -0.0221592015199373 0.031748053490835 4680 -0.69797039766026 0.485230382783326
"ParticipantTypePatient:SegID67" 0.0174008714850907 0.0317480534908348 4680 0.548092546527745 0.583654499031531
