"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"Patient" "196" 203.096855332801 20.2376251082997 56 166.345953911575 247.96715324978
"Control" "197" 378.472168911816 19.2620277295043 57 341.801007514956 419.077707471492
"Patient" "197" 397.34687060953 40.3722529268406 56 324.171028440368 487.040857237585
"Control" "198" 226.490117819044 11.5270270530926 57 204.544896089223 250.78979945463
"Patient" "198" 169.662606931391 16.906063012881 56 138.961719258924 207.146258295211
"Control" "199" 311.463973052455 15.8517010720433 57 281.285411553591 344.880333373201
"Patient" "199" 249.030096235554 25.3031423633806 56 203.167538089281 305.245559474353
"Control" "200" 263.179251361889 13.3942901327153 57 237.679123226324 291.415238356674
"Patient" "200" 222.667711099932 22.6241156266562 56 181.660877133272 272.931136020601
"Control" "201" 271.244741811617 13.8047765923707 57 244.96312714594 300.346059497429
"Patient" "201" 247.068455152617 25.1040115250204 56 201.566859470515 302.841556850419
"Control" "202" 239.792314933426 12.204031363389 57 216.55820842585 265.519163272998
"Patient" "202" 208.099969258333 20.7361613551221 56 170.443741428311 254.075607836464
"Control" "203" 243.497293447857 12.3925931778215 57 219.90420185172 269.621641683823
"Patient" "203" 203.854486358683 20.7131475841962 56 166.311432104567 249.87248971817
"Control" "204" 202.78381448454 10.320514369462 57 183.135558680119 224.540093214374
"Patient" "204" 160.825986086054 16.0255362336796 56 131.724107817506 196.357358034912
"Control" "205" 173.219488457092 8.81586247026919 57 156.435797765765 191.803868487082
"Patient" "205" 158.429409083111 15.7867288585027 56 129.76119762363 193.431303980606
