"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"Control" "193" 91.1956357400103 5.97332943100367 57 79.9854880534046 103.976911067565
"Patient" "193" 97.2795575629593 12.4753371441966 56 75.2404529297225 125.7742604033
"Control" "194" 75.2990502492514 4.93210041610735 57 66.0429771147679 85.8523830412156
"Patient" "194" 78.8070527735197 10.2103191530001 56 60.7921494752833 102.160420719675
"Control" "195" 95.4240395942606 6.25029059239928 57 83.6941188801396 108.797935318819
"Patient" "195" 111.019980086178 14.237438121783 56 85.867923284156 143.539467439405
"Control" "196" 94.6677028213801 6.20075040696675 57 83.0307541761088 107.93559623063
"Patient" "196" 109.508986767073 14.0436651282508 56 84.69925203861 141.585880561074
"Control" "197" 116.886726163605 7.65610016116598 57 102.518522550951 133.2686661228
"Patient" "197" 139.215764671877 18.0367530261556 56 107.392003315186 180.469946875781
"Control" "198" 82.0499027394128 5.37428238607365 57 71.96398667647 93.5493828296804
"Patient" "198" 92.9170251411861 11.9158767176944 56 71.8662711020308 120.13387405102
"Control" "199" 89.193683768775 5.84220124123672 57 78.2296243634443 101.69438098391
"Patient" "199" 106.329883765283 13.776228580464 56 82.0233594184217 137.839321160497
"Control" "200" 89.2565721636 5.84632044164174 57 78.2847822546322 101.766083330001
"Patient" "200" 107.408174244685 13.9157913203174 56 82.8553768843535 139.23678013895
"Control" "201" 98.2442403886303 6.43501421727069 57 86.1676488370923 112.013393655278
"Patient" "201" 122.314744100715 15.8473091890558 56 94.3540569610796 158.561243748053
"Control" "202" 53.9926729108661 3.53652912817553 57 47.3556684926836 61.5598685616732
"Patient" "202" 54.8163569402338 7.02976607807293 56 42.3974741195878 70.8729246398871
"Control" "203" 58.8237330388307 3.8529643765419 57 51.5928745718454 67.0680127311979
"Patient" "203" 56.1187600931743 7.27084333979146 56 43.290224129125 72.7488780146196
"Control" "204" 86.980423799037 5.6972323421395 57 76.2884275349771 99.1709276061742
"Patient" "204" 91.6832852123395 11.7576592879877 56 70.9120402916797 118.538752414284
"Control" "205" 86.7055220185599 5.6792262294277 57 76.0473178272615 98.8574977172433
"Patient" "205" 95.9601925556799 12.3061389725106 56 74.2199957729033 124.068432764382
