"ParticipantType" "SegID" "emmean" "SE" "df" "lower.CL" "upper.CL"
"Control" "146" 0.719887677470411 0.00724494570486355 55 0.705368481825366 0.734406873115455
"Patient" "146" 0.724045498613512 0.014989659350516 55 0.694005549988829 0.754085447238195
"Control" "147" 0.721385503557364 0.00724494570486342 55 0.70686630791232 0.735904699202409
"Patient" "147" 0.705842691363504 0.0145574071596449 55 0.676668995487002 0.735016387240007
"Control" "152" 0.711744199209537 0.00724494570486331 55 0.697225003564493 0.726263394854582
"Patient" "152" 0.717689784215079 0.0154892770606613 55 0.68664857932474 0.748730989105417
"Control" "153" 0.720915938339972 0.00724494570486335 55 0.706396742694928 0.735435133985016
"Patient" "153" 0.714399784215079 0.0154892770606612 55 0.68335857932474 0.745440989105417
"Control" "154" 0.725961590513886 0.00724494570486333 55 0.711442394868842 0.740480786158931
"Patient" "154" 0.748656701617907 0.0154862349560814 55 0.717621593241382 0.779691809994432
"Control" "155" 0.713470286166059 0.00724494570486338 55 0.698951090521015 0.727989481811104
"Patient" "155" 0.730134638501873 0.014988605311055 55 0.700096802219473 0.760172474784273
"Control" "156" 0.560770286166062 0.00724494570486341 55 0.546251090521017 0.575289481811106
"Patient" "156" 0.557000044068057 0.0149896593505161 55 0.526960095443374 0.58703999269274
"Control" "157" 0.53770506877476 0.00724494570486338 55 0.523185873129716 0.552224264419805
"Patient" "157" 0.539295766780657 0.0149865201239875 55 0.509262109306522 0.569329424254792
"Control" "160" 0.737465938339975 0.00724494570486349 55 0.72294674269493 0.75198513398502
"Patient" "160" 0.723108329347382 0.0154877383668321 55 0.692070208068385 0.754146450626379
"Control" "161" 0.705892025296496 0.00724494570486348 55 0.691372829651451 0.720411220941541
"Patient" "161" 0.713836775821543 0.0149874370066827 55 0.683801280873426 0.74387227076966
"Control" "162" 0.702815938339973 0.00724494570486347 55 0.688296742694928 0.717335133985018
"Patient" "162" 0.722317691363505 0.0145574071596449 55 0.693143995487002 0.751491387240007
"Control" "163" 0.715594199209538 0.0072449457048634 55 0.701075003564493 0.730113394854582
"Patient" "163" 0.724334358030171 0.014557407159645 55 0.695160662153668 0.753508053906673
"Control" "166" 0.752402894861714 0.00724494570486354 55 0.73788369921667 0.766922090506759
"Patient" "166" 0.753707365774603 0.014988605311055 55 0.723669529492204 0.783745202057003
"Control" "167" 0.749707242687801 0.0072449457048635 55 0.735188047042756 0.764226438332846
"Patient" "167" 0.756234638501876 0.014988605311055 55 0.726196802219476 0.786272474784275
"Control" "168" 0.742848547035625 0.00724494570486337 55 0.72832935139058 0.757367742680669
"Patient" "168" 0.734957947954126 0.0154884499850992 55 0.703918400560253 0.765997495347999
"Control" "169" 0.729331155731278 0.0072449457048635 55 0.714811960086233 0.743850351376323
"Patient" "169" 0.739707365774602 0.014988605311055 55 0.709669529492203 0.769745202057002
"Control" "170" 0.751674633992148 0.00724494570486351 55 0.737155438347103 0.766193829637193
"Patient" "170" 0.762251024696839 0.0145574071596449 55 0.733077328820336 0.791424720573341
"Control" "171" 0.747548547035625 0.00724494570486343 55 0.73302935139058 0.76206774268067
"Patient" "171" 0.753829001637454 0.0154905292084367 55 0.722785287386898 0.78487271588801
"Control" "176" 0.646939851383451 0.00724494570486352 55 0.632420655738406 0.661459047028496
"Patient" "176" 0.630734358030171 0.0145574071596449 55 0.601560662153668 0.659908053906673
"Control" "177" 0.647768112253017 0.00724494570486352 55 0.633248916607972 0.662287307898061
"Patient" "177" 0.650551024696838 0.0145574071596449 55 0.621377328820335 0.67972472057334
"Control" "178" 0.750985503557367 0.00724494570486354 55 0.736466307912322 0.765504699202412
"Patient" "178" 0.75847602469684 0.0145574071596449 55 0.729302328820338 0.787649720573343
"Control" "179" 0.749902894861712 0.00724494570486344 55 0.735383699216667 0.764422090506756
"Patient" "179" 0.754626024696837 0.0145574071596449 55 0.725452328820335 0.78379972057334
"Control" "182" 0.705015938339973 0.00724494570486345 55 0.690496742694929 0.719535133985018
"Patient" "182" 0.714854530268072 0.0149839200351397 55 0.684826083488429 0.744882977047715
"Control" "183" 0.722755068774756 0.00724494570486347 55 0.708235873129711 0.737274264419801
"Patient" "183" 0.725276024696838 0.0145574071596449 55 0.696102328820336 0.754449720573341
"Control" "190" 0.736194199209538 0.00724494570486342 55 0.721675003564494 0.750713394854583
"Patient" "190" 0.745781762375468 0.0149892416424968 55 0.715742650856362 0.775820873894574
"Control" "191" 0.734231155731278 0.00724494570486345 55 0.719711960086233 0.748750351376322
