"Model","AIC"
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age + Sex:Age",-7226.59715718288
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age + Sex:Age",-7219.41736937664
"log10(LacPyr) ~ SegID + Sex + Age + SegID:Sex + SegID:Age + Sex:Age",-7218.07348531924
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-7215.56653853577
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age",-6763.34483671407
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age",-6759.03972967184
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age",-6751.9319945019
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age + Sex:Age",-6750.81450779873
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age",-6747.95128242053
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age + Sex:Age",-6746.59552532096
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-6739.40549795794
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age +      Sex:Age",-6735.5644044428
"log10(LacPyr) ~ ParticipantType",-6127.66019419365
"log10(LacPyr) ~ ParticipantType + Age",-6121.45674529806
"log10(LacPyr) ~ ParticipantType + Sex",-6120.92243177522
"log10(LacPyr) ~ ParticipantType + Sex + ParticipantType:Sex",-6117.47049165172
"log10(LacPyr) ~ ParticipantType + Sex + Age",-6114.94148817015
