"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"27" "SegID25" 0.0568857356163748 0.0127915280187269 4680 4.44714154032993 8.90367870242104e-06
"28" "SegID26" -0.0476855772579929 0.0127915280187272 4680 -3.72790312370654 0.000195360810840276
"29" "SegID27" 0.0748007246214813 0.0127915280187268 4680 5.84767703373458 5.32366322518474e-09
"30" "SegID28" 0.1091297479458 0.0127915280187271 4680 8.53140827163353 1.92784460856769e-17
"31" "SegID29" -0.122683601094272 0.0127915280187276 4680 -9.5910043674732 1.37610360759962e-21
"32" "SegID30" -0.261375138658085 0.0127915280187275 4680 -20.4334570721666 5.79760931660213e-89
"33" "SegID31" -0.0080240828332294 0.0127915280187267 4680 -0.627296662406726 0.530495392871378
"34" "SegID32" -0.105343573167737 0.012791528018727 4680 -8.23541745861101 2.29872462058108e-16
"35" "SegID33" 0.0845955895873153 0.0127915280187273 4680 6.61340767603871 4.17636553963424e-11
"36" "SegID34" 0.0568599338709163 0.0127915280187274 4680 4.44512444390306 8.98727401669773e-06
"37" "SegID35" 0.0196984138393267 0.0127915280187275 4680 1.5399578385387 0.123638237235229
"38" "SegID36" 0.0360372187966938 0.0127915280187276 4680 2.81727239653724 0.00486364742326147
"39" "SegID37" 0.0816767316815982 0.0127915280187269 4680 6.38522087134724 1.87751415243816e-10
"40" "SegID38" 0.0885756371686661 0.0127915280187274 4680 6.92455483340125 4.96591121124066e-12
"41" "SegID39" -0.0974436996230491 0.0127915280187274 4680 -7.61783107384721 3.10254788739685e-14
"42" "SegID40" -0.128725767524885 0.0127915280187268 4680 -10.0633612603929 1.39129661472062e-23
"43" "SegID41" 0.126937641028592 0.0127915280187273 4680 9.9235713546302 5.5370470728228e-23
"44" "SegID42" 0.0627026479688778 0.0127915280187268 4680 4.90188880304847 9.81294702285548e-07
"45" "SegID43" 0.0759729598810151 0.0127915280187271 4680 5.9393185684923 3.069160902784e-09
"46" "SegID44" 0.0595238552630202 0.0127915280187273 4680 4.65338114225878 3.35552981690183e-06
"47" "SegID45" 0.0431219388296894 0.0127915280187268 4680 3.37113273461615 0.000754663553076172
"48" "SegID46" 0.0423811449612347 0.012791528018727 4680 3.3132198826589 0.000929291205849023
"49" "SegID47" 0.0963892387420778 0.0127915280187267 4680 7.53539675642853 5.81026981276209e-14
"50" "SegID48" 0.00348732310706295 0.012791528018727 4680 0.272627562708494 0.785151550133457
"51" "SegID49" 0.00883595798172527 0.0127915280187272 4680 0.690766417334124 0.489746601024152
"52" "SegID50" -0.0522642608036962 0.0127915280187271 4680 -4.08584969107523 4.46507520878545e-05
"53" "SegID51" 0.102436205123276 0.0127915280187269 4680 8.00812889385132 1.45776017622182e-15
"54" "SegID52" 0.0807452109438098 0.0127915280187271 4680 6.31239761392047 3.00177892879364e-10
"55" "SegID53" -0.114126756327116 0.0127915280187272 4680 -8.92205811221548 6.45038057978691e-19
"56" "SegID54" -0.254303981041092 0.0127915280187268 4680 -19.8806569996008 1.68571678516266e-84
"57" "SegID55" -0.0749907468640619 0.0127915280187269 4680 -5.8625323537794 4.87161771451157e-09
"58" "SegID56" -0.0541084401562665 0.0127915280187269 4680 -4.23002162658372 2.38134486023542e-05
"59" "SegID57" 0.0820041424616425 0.0127915280187273 4680 6.41081677979249 1.5901282176559e-10
"60" "SegID58" 0.0951904267550537 0.0127915280187269 4680 7.44167753967265 1.17645715129528e-13
"61" "SegID59" 0.0340636882121347 0.0127915280187268 4680 2.66298820299383 0.00777152577396443
"62" "SegID60" -0.0165140077900086 0.0127915280187273 4680 -1.29101134483945 0.196763510363921
"63" "SegID61" -0.0137167417566044 0.0127915280187271 4680 -1.07233019671479 0.283627039929471
"64" "SegID62" -0.102439008870884 0.0127915280187271 4680 -8.00834808170771 1.45519999516226e-15
"65" "SegID63" -0.149182819152114 0.0127915280187269 4680 -11.6626269303956 5.29156917113704e-31
"66" "SegID64" -0.0977888836832307 0.0127915280187273 4680 -7.64481643944833 2.52297856225577e-14
"67" "SegID65" 0.00134237726924662 0.0127915280187273 4680 0.104942682944627 0.916425787021725
"68" "SegID66" -0.018480837042494 0.0127915280187272 4680 -1.44477165006694 0.148588984277922
"69" "SegID67" -0.00769571124556567 0.0127915280187272 4680 -0.601625641150837 0.547452498277358
"70" "SegID68" 0.0548418241835045 0.012791528018727 4680 4.28735520128753 1.84451858704402e-05
"71" "SegID69" 0.00819584077898064 0.012791528018727 4680 0.640724139210094 0.521733298626745
"72" "SegID70" -0.0193871792933378 0.0127915280187272 4680 -1.51562653538767 0.129681348556226
"73" "SegID71" -0.0315269961551676 0.012791528018727 4680 -2.46467787968814 0.0137493103824504
"74" "SegID72" -0.0474546397001986 0.0127915280187271 4680 -3.70984917757472 0.000209788513396872
"75" "SegID73" -0.117030547950878 0.012791528018727 4680 -9.14906708405305 8.38655994502543e-20
"76" "SegID74" -0.131428420475878 0.012791528018727 4680 -10.2746458658781 1.66658171150527e-24
"77" "SegID75" 0.0308669988371337 0.0127915280187272 4680 2.41308143889796 0.015856472246249
"78" "SegID76" 0.0187551286384414 0.0127915280187271 4680 1.46621487370261 0.142656942858815
"79" "SegID77" -0.00773963895150523 0.0127915280187271 4680 -0.60505976613382 0.545168622155062
"80" "SegID78" -0.140064080931711 0.0127915280187271 4680 -10.9497536749835 1.43563157639732e-27
"81" "SegID79" -0.0178985831372894 0.0127915280187272 4680 -1.39925293609061 0.161803420713046
"82" "SegID80" -0.109935090986362 0.0127915280187272 4680 -8.59436736763689 1.12586996194685e-17
"83" "SegID81" 0.0449872363036346 0.0127915280187271 4680 3.51695561607433 0.000440669840097219
"84" "SegID82" 0.016390920437021 0.0127915280187271 4680 1.28138877646395 0.200120629197435
"85" "SegID83" -0.121105207275855 0.0127915280187271 4680 -9.46761067939292 4.41568182212106e-21
"86" "SegID84" -0.130051566343593 0.0127915280187271 4680 -10.1670078940682 4.93824992398869e-24
"87" "SegID85" 0.107381998438212 0.012791528018727 4680 8.39477490734515 6.11528571522064e-17
"88" "ParticipantTypePatient:SegID1" -0.0483368045720441 0.0302866058658768 4680 -1.5959795820668 0.110560870355736
"89" "ParticipantTypePatient:SegID2" 0.0183119825855273 0.0281356242021658 4680 0.650846857135579 0.515177301519809
"90" "ParticipantTypePatient:SegID3" 0.0234967727117767 0.0281356242021659 4680 0.835125339425307 0.403689770653962
"91" "ParticipantTypePatient:SegID4" -0.0469436740496836 0.0376734247663768 4680 -1.24606866354185 0.212801559714588
"92" "ParticipantTypePatient:SegID5" -0.00991115675911896 0.031638033964423 4680 -0.313267150868606 0.754091664711251
