"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"72" "Patient" "129" 1.77731860520238 0.190779170736922 56 1.43343827835578 2.20369545874127
"73" "Control" "132" 1.43444313683261 0.0762827576824999 57 1.28954171912097 1.59562663409509
"74" "Patient" "132" 1.76955474087727 0.186861087525883 56 1.43216909323393 2.18642058102964
"75" "Control" "133" 1.45741166889426 0.077504209352903 57 1.31019006659458 1.62117606199682
"76" "Patient" "133" 1.966760629893 0.211118223499424 56 1.58621984389694 2.43859474471966
"77" "Control" "134" 0.94964854161639 0.0505016948553441 57 0.85371903665751 1.05635731882587
"78" "Patient" "134" 1.41478779158546 0.151870421337978 56 1.14104172347104 1.754207978592
"79" "Control" "135" 0.883651131148749 0.0469919952784803 57 0.794388407253898 0.982944003777357
"80" "Patient" "135" 1.1646324846243 0.122979923049007 56 0.942586500293808 1.43898604936458
"81" "Control" "138" 1.59200433609936 0.0846617602899996 57 1.4311867481584 1.77089244951468
"82" "Patient" "138" 2.30512264460186 0.240007811971973 56 1.87115860379473 2.83973277085132
"83" "Control" "139" 1.37312240407446 0.0730217607996029 57 1.23441534909746 1.52741549912658
"84" "Patient" "139" 1.80326029950577 0.187754243755242 56 1.46377722339561 2.22147718641936
"85" "Control" "142" 1.41572716414744 0.0752874543675928 57 1.27271635534617 1.57480761120555
"86" "Patient" "142" 2.19307684408747 0.231579900646755 56 1.7749487039922 2.70970424849741
"87" "Control" "143" 1.36310860846472 0.0724892336297457 57 1.22541310503917 1.51627648735749
"88" "Patient" "143" 2.19856058271558 0.228912642102187 56 1.78465799203614 2.7084565543877
"89" "Control" "144" 1.31258834626321 0.0698025987812673 57 1.17999618742358 1.46007943509357
"90" "Patient" "144" 1.85145712168844 0.192772464309864 56 1.50290047729877 2.2808519427793
"91" "Control" "145" 1.31035131904869 0.069683635121745 57 1.17798513529759 1.45759104073827
"92" "Patient" "145" 1.92995681294061 0.200945799113559 56 1.5666217604269 2.37755748956335
"93" "Control" "146" 1.48386996371857 0.0789112443485386 57 1.33397565566163 1.65060738543542
"94" "Patient" "146" 1.84883929188872 0.19523288885013 56 1.49633791347643 2.28438155342205
"95" "Control" "147" 1.19810237303563 0.0637143088173665 57 1.07707510610618 1.33272906237988
"96" "Patient" "147" 1.71906655029239 0.178988047484627 56 1.39543384973813 2.11775700072687
"97" "Control" "152" 1.2129490627064 0.0645038461656673 57 1.09042204557677 1.34924402408072
"98" "Patient" "152" 1.87725437350122 0.201510667588557 56 1.51403127631895 2.32761636958882
"99" "Control" "153" 1.05376154175519 0.0560383568235014 57 0.947314979037132 1.17216914273953
"100" "Patient" "153" 1.64261076355464 0.176323249648209 56 1.32478800206576 2.0366806736914
"101" "Control" "154" 1.50467536411537 0.0800176620769273 57 1.35267938194103 1.67375061792315
