"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"Patient" "156" 268.940142084604 28.6772028227626 56 217.213864033046 332.984270347876
"Control" "157" 261.094637909467 14.0538461187881 57 234.415916590828 290.809646957835
"Patient" "157" 339.518967310443 36.2026443959454 56 274.218657506598 420.369387742247
"Control" "160" 352.363041491234 18.966517285518 57 316.358489799934 392.465247534442
"Patient" "160" 479.075233420721 51.7890887929896 56 385.793754148774 594.911340085124
"Control" "161" 359.122734014329 19.3303687965661 57 322.427475097222 399.994256218513
"Patient" "161" 499.515994507564 53.2627329320924 56 403.443598723662 618.46619839366
"Control" "162" 334.926207561932 18.0279511671044 57 300.703356317657 373.043939001859
"Patient" "162" 418.297755114932 44.0829924603063 56 338.687791875201 516.620368763292
"Control" "163" 302.03618590269 16.2575919328299 57 271.174046042749 336.410725605588
"Patient" "163" 388.391754923764 40.9312997609685 56 314.473468358731 479.684839805574
"Control" "166" 364.386173003543 19.6136820128096 57 327.153094454845 405.856723737927
"Patient" "166" 477.04213326822 50.867540760369 56 385.290270376507 590.643508050988
"Control" "167" 394.337669322004 21.2258703122607 57 354.044138709814 439.216980156715
"Patient" "167" 505.902289192776 53.9449317400405 56 408.599610377778 626.376334460671
"Control" "168" 397.022255229338 21.3703725415537 57 356.454412896881 442.207097020818
"Patient" "168" 510.522473158285 55.1898806806432 56 411.115794883427 633.965415202681
"Control" "169" 430.269199484014 23.1599437185656 57 386.304175319066 479.237854138403
"Patient" "169" 555.424913635618 59.2255850444953 56 448.597304565952 687.692127320348
"Control" "170" 181.480005020651 9.76845822885682 57 162.936328606545 202.134125053388
"Patient" "170" 221.789445058404 23.373643092105 56 179.57872469915 273.921969441113
"Control" "171" 253.342977617014 13.6366003193818 57 227.456323061427 282.175775304879
"Patient" "171" 338.434715037404 36.5858465318167 56 272.53707196869 420.265967910624
"Control" "176" 247.337002839914 13.3133188993323 57 222.06404042526 275.486264487841
"Patient" "176" 289.145803541964 30.4721029974627 56 234.115895995429 357.110717964921
