"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"SegID62" 0.181974452243601 0.0117975554956299 4680 15.4247591639648 2.13147700661261e-52
"SegID63" -0.192937023679902 0.0117975554956298 4680 -16.3539831409458 1.66330905467753e-58
"SegID64" -0.0480569356507074 0.0117975554956297 4680 -4.07346553008458 4.7084938461423e-05
"SegID65" -0.0584767124625594 0.0117975554956299 4680 -4.9566804313165 7.42404609497268e-07
"SegID66" -0.0566338047333351 0.0117975554956296 4680 -4.80046944931219 1.6322777183311e-06
"SegID67" -0.0793271325743384 0.0117975554956299 4680 -6.7240313134126 1.97962795150482e-11
"SegID68" 0.0459180631832644 0.0117975554956296 4680 3.89216759355568 0.000100734565787044
"SegID69" -0.0421107839281962 0.0117975554956298 4680 -3.569449954594 0.000361320700254591
"SegID70" -0.0601372856841348 0.0117975554956297 4680 -5.09743613466469 3.57855543561366e-07
"SegID71" -0.124947671178576 0.0117975554956297 4680 -10.5909797351546 6.4341394839221e-26
"SegID72" -0.100256583719805 0.0117975554956301 4680 -8.49808112849658 2.55895467827183e-17
"SegID73" 0.0496034126848781 0.0117975554956297 4680 4.20455006151515 2.6648704743009e-05
"SegID74" 0.038370468880694 0.0117975554956298 4680 3.25240842434755 0.00115243106422819
"SegID75" 0.030277027349578 0.0117975554956299 4680 2.56638143052545 0.0103074107028198
"SegID76" 0.0320674035132635 0.0117975554956299 4680 2.71813966250399 0.00658919986031317
"SegID77" -0.00447773472981323 0.0117975554956298 4680 -0.379547672521815 0.704298431002069
"SegID78" 0.0612106670385354 0.0117975554956296 4680 5.18841950446521 2.21048845606904e-07
"SegID79" -0.0396085264809132 0.0117975554956298 4680 -3.35735029986386 0.000793213335849673
"SegID80" 0.00671352715920371 0.0117975554956298 4680 0.56906086703221 0.569342142233541
"SegID81" 0.0884796824637023 0.0117975554956297 4680 7.49983185046077 7.60130820060815e-14
"SegID82" 0.0729930473642669 0.0117975554956299 4680 6.18713320664655 6.64962658954681e-10
"SegID83" -0.118029147964029 0.0117975554956298 4680 -10.0045427213926 2.49332410557815e-23
"SegID84" -0.120316629129265 0.0117975554956298 4680 -10.1984372248839 3.60005431865385e-24
"SegID85" 0.0376560855342927 0.0117975554956296 4680 3.19185491843988 0.00142297660840446
