"Model","AIC"
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age + Sex:Age",-5001.1364505049
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age + Sex:Age",-4994.31951669007
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age + Sex:Age",-4991.46552169392
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age",-4923.91157215296
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age",-4921.21314700037
"log10(BicPyr) ~ SegID + Sex + Age + SegID:Sex + SegID:Age",-4918.05665025175
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age + Sex:Age",-4914.9458964808
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age",-4912.92877226072
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age",-4912.08081350633
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age + Sex:Age",-4910.92794885399
"log10(BicPyr) ~ SegID + Sex + Age + SegID:Sex + SegID:Age + Sex:Age",-4909.86002747752
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age + Sex:Age",-4904.12986208954
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-4901.25606325053
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age",-4494.41429489664
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age",-4491.73852779434
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age + Sex:Age",-4485.46286280206
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age",-4483.42975856912
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age",-4482.60823689944
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age + Sex:Age",-4481.45336689578
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-4474.64344772259
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age +      Sex:Age",-4471.78328743293
"log10(BicPyr) ~ ParticipantType",-4283.81805052029
"log10(BicPyr) ~ Sex",-4281.0448084797
"log10(BicPyr) ~ ParticipantType + Age",-4279.9032508632
"log10(BicPyr) ~ ParticipantType + Sex",-4279.08093345915
"log10(BicPyr) ~ ParticipantType + Sex + ParticipantType:Sex",-4277.6405204493
"log10(BicPyr) ~ ParticipantType + Sex + Age",-4276.52166725273
"log10(BicPyr) ~ Age",-4275.87929536802
"log10(BicPyr) ~ ParticipantType + Sex + Age + ParticipantType:Sex",-4273.74481557573
"log10(BicPyr) ~ Sex + Age",-4270.65734919673
"log10(BicPyr) ~ ParticipantType + Age + ParticipantType:Age",-4269.28753402491
"log10(BicPyr) ~ ParticipantType + Sex + Age + Sex:Age",-4267.49242937943
"log10(BicPyr) ~ ParticipantType + Sex + Age + ParticipantType:Age",-4265.54117773254
"log10(BicPyr) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-4264.57231464933
"log10(BicPyr) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      Sex:Age",-4263.45034765366
"log10(BicPyr) ~ Sex + Age + Sex:Age",-4262.39789678351
"log10(BicPyr) ~ ParticipantType + Sex + Age + ParticipantType:Age +      Sex:Age",-4256.67869115457
"log10(BicPyr) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-4253.74760170859
