"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"135" "Control" "179" 0.319435100418256 0.0216845140488615 57 0.278834627784892 0.365947315044168
"136" "Patient" "179" 0.437463148240136 0.0581429181638437 56 0.335205293347369 0.570915823426012
"137" "Control" "182" 0.354359959111927 0.024055351154758 57 0.309320507268827 0.405957502561167
"138" "Patient" "182" 0.470698966191659 0.0634656592480101 56 0.359285090844243 0.616662150531446
"139" "Control" "183" 0.380457932748994 0.0258269845013716 57 0.33210140628557 0.435855542469973
"140" "Patient" "183" 0.496797064014445 0.0660289470169811 56 0.380669791837326 0.648350166221864
"141" "Control" "190" 0.35670665937341 0.024214654420811 57 0.31136893993348 0.408645900482306
"142" "Patient" "190" 0.525179384008175 0.0708115470528052 56 0.400869844800935 0.688037249407399
"143" "Control" "191" 0.341982110307746 0.0232150939759524 57 0.298515893563031 0.391777343492919
"144" "Patient" "191" 0.501862677604932 0.0688096018352563 56 0.381330079196406 0.660493784554213
"145" "Control" "192" 0.234829492069222 0.0159411517807359 57 0.204982464132156 0.269022477502933
"146" "Patient" "192" 0.351841112098527 0.0467629537932895 56 0.269597573343278 0.459173896217174
"147" "Control" "193" 0.25906930785672 0.0175866460463867 57 0.226141378740574 0.296791797446125
"148" "Patient" "193" 0.36983718723436 0.0491547994335506 56 0.28338703119653 0.48265986091144
"149" "Control" "194" 0.31667973212682 0.0214974687856854 57 0.27642946914407 0.362790743875601
"150" "Patient" "194" 0.421894266804413 0.0568860938429848 56 0.322031015034151 0.552725557640954
"151" "Control" "195" 0.388674744481894 0.0263847740781138 57 0.339273854266778 0.44526878537265
"152" "Patient" "195" 0.499996141332012 0.0664541341245656 56 0.383121078659976 0.652525155288508
"153" "Control" "196" 0.39462149134622 0.0267884627014231 57 0.344464764552699 0.452081424451442
"154" "Patient" "196" 0.539195875719634 0.0716641431452404 56 0.413157799506983 0.70368317562924
"155" "Control" "197" 0.308838365842534 0.0209651659262587 57 0.269584747176005 0.353807614174903
"156" "Patient" "197" 0.350330993836792 0.0472362129161432 56 0.267407912270109 0.458968488257382
"157" "Control" "198" 0.362267031910713 0.0245921144314493 57 0.31622258439758 0.415015906151712
"158" "Patient" "198" 0.547657653160785 0.0727887920105465 56 0.419641620146074 0.714726306130396
"159" "Control" "199" 0.286369183872683 0.019439869265204 57 0.249971417322802 0.328066745991228
