"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"131" "ParticipantTypePatient:SegID44" 0.0493655955222855 0.0362844625476028 4680 1.36051610127947 0.173732180881684
"132" "ParticipantTypePatient:SegID45" 0.0185001162442651 0.0362844625476028 4680 0.509863311878856 0.610171269171229
"133" "ParticipantTypePatient:SegID46" -0.0106260686902472 0.036284462547603 4680 -0.292854515243444 0.769646340170073
"134" "ParticipantTypePatient:SegID47" -0.0105706499043366 0.0375683102098925 4680 -0.281371449641435 0.778437953215421
"135" "ParticipantTypePatient:SegID48" -0.00930308703856067 0.0362844625476031 4680 -0.256393133186293 0.797658559100333
"136" "ParticipantTypePatient:SegID49" 0.0501641742302519 0.0390544562014286 4680 1.28446735941024 0.199042053315781
"137" "ParticipantTypePatient:SegID50" 0.0421618855447741 0.0390544562014284 4680 1.07956657563784 0.280390865327677
"138" "ParticipantTypePatient:SegID51" 0.0510873783833455 0.0390542087492514 4680 1.3081145417989 0.190898706522361
"139" "ParticipantTypePatient:SegID52" 0.0216055760029285 0.0375676578571581 4680 0.575111072536872 0.565243826796761
"140" "ParticipantTypePatient:SegID53" 0.0176452801182208 0.0375683102098926 4680 0.469685221923408 0.638601810173667
"141" "ParticipantTypePatient:SegID54" -0.0745470014646256 0.0375702616291291 4680 -1.98420235133065 0.0472916052111335
"142" "ParticipantTypePatient:SegID55" -0.0350161407778113 0.0390558693794313 4680 -0.89656539040589 0.369996987768239
"143" "ParticipantTypePatient:SegID56" -0.0870298741595149 0.0375710651592325 4680 -2.31640688893614 0.0205790446234739
"144" "ParticipantTypePatient:SegID57" 0.04114366982414 0.0362844625476031 4680 1.13391978095753 0.256886278308501
"145" "ParticipantTypePatient:SegID58" -0.0242258964331211 0.0362844625476029 4680 -0.66766584736754 0.504379836621153
"146" "ParticipantTypePatient:SegID59" 0.0350364431486486 0.0375676578571578 4680 0.932622504226015 0.351063020194772
"147" "ParticipantTypePatient:SegID60" 0.0105449516649453 0.0375676578571582 4680 0.280692283374169 0.778958835262823
"148" "ParticipantTypePatient:SegID61" 0.0957891454276518 0.0390517235796507 4680 2.45287881422899 0.0142080440628997
"149" "ParticipantTypePatient:SegID62" 0.058554825685073 0.0375676578571582 4680 1.55864988729703 0.119146884606797
"150" "ParticipantTypePatient:SegID63" -0.12445055017519 0.036284462547603 4680 -3.42985789060314 0.000609116079848841
"151" "ParticipantTypePatient:SegID64" -0.0670868297858231 0.0390550006493142 4680 -1.71775262246734 0.0859078971066914
"152" "ParticipantTypePatient:SegID65" 0.0266133076911781 0.0362844625476029 4680 0.733462915600944 0.463312876830266
"153" "ParticipantTypePatient:SegID66" 0.0335260815354638 0.036284462547603 4680 0.923979003174696 0.355544883945217
"154" "ParticipantTypePatient:SegID67" -0.0173327662001337 0.0362844625476028 4680 -0.477691137836043 0.632892361945524
"155" "ParticipantTypePatient:SegID68" 0.0366418259371474 0.036284462547603 4680 1.00984893710567 0.312619877147712
"156" "ParticipantTypePatient:SegID69" 0.0233815893358803 0.0375703486491293 4680 0.622341558611597 0.533747618898688
"157" "ParticipantTypePatient:SegID70" 0.0159553645514264 0.0362844625476032 4680 0.439729940342755 0.660153019417485
"158" "ParticipantTypePatient:SegID71" 0.0680794399636906 0.0375698353579932 4680 1.81207714420304 0.0700383397024292
"159" "ParticipantTypePatient:SegID72" 0.0666644992301482 0.0390544562014287 4680 1.70696268016938 0.0878953235970034
"160" "ParticipantTypePatient:SegID73" 0.0756769337810493 0.0362844625476032 4680 2.08565673755717 0.0370637672570514
"161" "ParticipantTypePatient:SegID74" 0.0546776004074175 0.036284462547603 4680 1.50691498697779 0.131899942843883
"162" "ParticipantTypePatient:SegID75" 0.0246663425928401 0.037568310209893 4680 0.656573118541399 0.511487720040568
"163" "ParticipantTypePatient:SegID76" 0.0094633187825004 0.0362844625476029 4680 0.260809120986293 0.794251185329846
"164" "ParticipantTypePatient:SegID77" 0.0356488159028857 0.0362844625476029 4680 0.982481574754393 0.32591344276891
"165" "ParticipantTypePatient:SegID78" -0.0451696969060024 0.0375702616291294 4680 -1.20227262061388 0.229318747988414
"166" "ParticipantTypePatient:SegID79" 0.0795633359237306 0.0362844625476031 4680 2.19276600333678 0.0283732964389728
"167" "ParticipantTypePatient:SegID80" 0.0734904986857117 0.0375678840600278 4680 1.95620542717511 0.0505003573991791
"168" "ParticipantTypePatient:SegID81" 0.0530190826714617 0.0375697233362104 4680 1.41121834188118 0.158246716279731
"169" "ParticipantTypePatient:SegID82" 0.0357333451204257 0.0375676578571579 4680 0.951173087667409 0.341565636185987
"170" "ParticipantTypePatient:SegID83" -0.0317784264734527 0.036284462547603 4680 -0.875813619445551 0.381176312883257
"171" "ParticipantTypePatient:SegID84" -0.0432530455092883 0.0375676578571581 4680 -1.15133729320437 0.249652316646827
"172" "ParticipantTypePatient:SegID85" 0.0236287002611921 0.036284462547603 4680 0.65120711737683 0.514944769453564
