"Model","AIC"
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Sex",-6755.29330615255
"log10(LacBic) ~ ParticipantType + Age + ParticipantType:Age",-6752.53852724304
"log10(LacBic) ~ ParticipantType + Sex + Age + Sex:Age",-6752.16980229923
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Age",-6748.34876935498
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-6746.91720897539
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      Sex:Age",-6746.80362799755
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Age +      Sex:Age",-6741.59063594536
"log10(LacBic) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-6737.1998849585
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age",-6394.72145385545
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age",-6390.55182403896
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age + Sex:Age",-6387.45748337475
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age",-6383.41721854851
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age",-6382.21592385857
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age + Sex:Age",-6382.08275837777
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-6376.81930566896
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age +      Sex:Age",-6372.50872230622
