"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"35" "Control" "71" 5.49438589279178 0.111826222558581 55 5.27479001167627 5.72312381575089
"36" "Patient" "71" 5.26596190062352 0.217436234652133 55 4.84775174904535 5.72025057683271
"37" "Control" "100" 5.51598399866288 0.112265804823295 55 5.29552489913102 5.74562107686393
"38" "Patient" "100" 4.61291851610874 0.184630378309853 55 4.25736140618952 4.99817027638823
"39" "Control" "101" 5.92499928959909 0.120590417591055 55 5.68819294490544 6.17166416852853
"40" "Patient" "101" 5.38992052158264 0.222560080336376 55 4.96185575357698 5.85491490921209
"41" "Control" "102" 4.80344171999277 0.0977635632640574 55 4.61146102597695 5.00341480224892
"42" "Patient" "102" 4.20370081622526 0.173574532883706 55 3.86985290985612 4.56634941016142
"43" "Control" "103" 4.77238999853549 0.0971315733051659 55 4.58165035861865 4.97107036011111
"44" "Patient" "103" 4.12587298794196 0.165136558983641 55 3.80785664528089 4.47044873228766
"45" "Control" "106" 13.5941793500002 0.27667982467135 55 13.0508564289942 14.160121460643
"46" "Patient" "106" 10.6020080700635 0.424341499635061 55 9.78482057031291 11.4874436695058
"47" "Control" "107" 12.6754255685889 0.257980598435462 55 12.1688227742894 13.2031188492858
"48" "Patient" "107" 10.9522858402372 0.438361239414738 55 10.1080994348703 11.8669751815513
"49" "Control" "108" 3.88901780622535 0.0791524620256075 55 3.73358418570875 4.05092231615684
"50" "Patient" "108" 3.99632687988534 0.170895047033926 55 3.66811032497376 4.35391171911068
"51" "Control" "109" 4.10527711671767 0.0835539478799617 55 3.94120019105948 4.27618476302652
"52" "Patient" "109" 4.10259269330844 0.169399039752292 55 3.77677575078204 4.45651738886075
"53" "Control" "112" 4.57599029179852 0.0931342863026587 55 4.39310022187791 4.76649429629523
"54" "Patient" "112" 4.04197771486751 0.166896842676467 55 3.720973472013 4.39067463672272
"55" "Control" "113" 4.84820915297021 0.0986747065694571 55 4.65443922461925 5.05004595754861
