"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"100" "ParticipantTypePatient:SegID12" -0.0244891412043864 0.0162351592982018 4680 -1.50840165806681 0.131519260079004
"101" "ParticipantTypePatient:SegID13" -0.0197843039663367 0.0162351592982017 4680 -1.21860855215188 0.223054225227426
"102" "ParticipantTypePatient:SegID14" 0.00385422128178743 0.0162351592982018 4680 0.23739965903595 0.812357145655561
"103" "ParticipantTypePatient:SegID15" 0.00115985686023666 0.0162351592982017 4680 0.0714410520360665 0.94304979088055
"104" "ParticipantTypePatient:SegID16" 0.0102168948417425 0.0162351592982017 4680 0.629306719699026 0.529178989900455
"105" "ParticipantTypePatient:SegID17" 0.0138124275839842 0.0162351592982017 4680 0.850772532026474 0.394939248277058
"106" "ParticipantTypePatient:SegID18" 0.0241571159330296 0.0168100599175209 4680 1.43706304745833 0.150766929459473
"107" "ParticipantTypePatient:SegID19" -0.035048652797591 0.0162351592982016 4680 -2.15881175871636 0.0309154471500867
"108" "ParticipantTypePatient:SegID20" 0.0014926203112851 0.0168092454011374 4680 0.0887975798832771 0.929246580533138
"109" "ParticipantTypePatient:SegID21" -0.0153221650448324 0.0168100599175209 4680 -0.911487830502161 0.362085340784595
"110" "ParticipantTypePatient:SegID22" -0.0206215108040354 0.0162351592982017 4680 -1.27017606820276 0.204085064981101
"111" "ParticipantTypePatient:SegID23" -0.0653663031812216 0.0162351592982017 4680 -4.02621877498067 5.75777835093379e-05
"112" "ParticipantTypePatient:SegID24" -0.0208592179114962 0.0162351592982018 4680 -1.28481756959457 0.198919627560028
"113" "ParticipantTypePatient:SegID25" 0.0544196342360924 0.0174732089980261 4680 3.11446135865713 0.00185394945873783
"114" "ParticipantTypePatient:SegID26" 0.0423144854655609 0.0168102966762667 4680 2.51717660196335 0.0118630929582604
"115" "ParticipantTypePatient:SegID27" -0.0112926179852177 0.0168100599175209 4680 -0.671777378583141 0.501758590909795
"116" "ParticipantTypePatient:SegID28" -0.0112652783900005 0.0162351592982017 4680 -0.693881604921995 0.487790899066144
